model,AlloProfClusteringP2P,AlloProfClusteringS2S,AlloprofReranking,AlloprofRetrieval,AmazonReviewsClassification,BSARDRetrieval,DiaBLaBitextMining,HALClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,MTOPDomainClassification,MTOPIntentClassification,MasakhaNEWSClassification,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,MassiveIntentClassification,MassiveScenarioClassification,OpusparcusPC,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr,SyntecReranking,SyntecRetrieval
izhx/udever-bloom-1b1,0.6156865516596989,0.27056605660635213,,,0.35122000000000003,,0.011145905822315007,0.13863080092778088,0.44114631905302576,0.3046596247823246,0.6924209207641716,0.5124960851863452,,0.4477280615670335,0.2139691795010458,0.43211163416274373,0.4978143913920645,,0.5994249043712252,0.7710422175271007,,0.29477739086433014,,
izhx/udever-bloom-560m,0.5364830199572178,0.22130806495842745,,,0.26849999999999996,,0.009206251299153178,0.07676232398725595,0.3643378561194323,0.252602955617548,0.3498590667084247,0.15756341998120887,,0.19945424488643382,0.08196381524377111,0.1509078681909886,0.21674512441156693,,0.5454151151439361,0.6134778039151253,,0.236335996838468,0.5088333333333334,0.19361
sentence-transformers/LaBSE,0.5478373637265357,0.316037738871091,0.49509957364101576,0.19558,0.3852399999999999,0.0,0.8672794726798165,0.20619281081087668,0.4209325634914144,0.348364243914043,0.8413717507046664,0.6201064829314126,,0.42787068181163956,0.28238038005049615,0.6046738399462004,0.6510423671822462,,0.699399693283394,0.779542837388368,,0.30163745632848504,0.7328333333333332,0.5006
sentence-transformers/all-MiniLM-L12-v2,0.4602594872664162,0.3182943689925971,0.45734777782104724,,0.27540000000000003,,0.02090872187427511,0.19579515289877036,0.34352183238407863,0.2929559187477989,0.7559348575007829,0.3893830253679925,,0.2683740719058668,0.20779393919527686,0.4481506388702085,0.537626092804304,,0.6316238159087848,0.6951402658537921,,0.26628635658682365,0.6833333333333335,
sentence-transformers/all-MiniLM-L6-v2,0.5183078853752063,0.3206588333216591,0.3169263945167622,,0.26898000000000005,,0.012903038738111805,0.18840803542133214,0.36735755994436425,0.28117905509113844,0.7508299404948324,0.39652364547447544,,0.32580458929291367,0.2174540495225184,0.4263954270342972,0.5115669132481506,,0.6248225654609475,0.7700398643056744,,0.28281807578154883,0.5956666666666667,0.57306
sentence-transformers/distiluse-base-multilingual-cased-v2,0.5595373948625354,0.3538541904887588,0.5177355262516891,,0.35764,,0.8264188510013144,0.18200925239366011,0.40170450787341194,0.3464793188683687,0.8498277481991858,0.5610710930159725,,0.4087161293436307,0.24530359847651578,0.598285137861466,0.6738735709482178,,0.7249442911000451,0.7641254265129491,,0.28121115462556573,0.7478333333333331,
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,0.49131945955421763,0.2615924058641751,0.40279708557907973,0.31134,0.27046000000000003,0.0,0.025866001701074764,0.12491384159358596,0.3514684027308759,0.2595314882250714,0.7296899467585343,0.3718446601941748,,0.3522819591205593,0.17817051028324735,0.42642905178211166,0.49922663080026897,,0.6210588256655486,0.74618828792621,,0.27590643209882243,0.6508333333333334,0.57153
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5606489195760765,0.4215818771542176,0.4900817277127068,,0.36758,,0.755734499784604,0.2320666181560827,0.39971528026775527,0.36548202790967554,0.7769808957093642,0.47936110241152524,,0.3291808540835628,0.2742146292893042,0.5751513113651648,0.6451916610625421,,0.75102380757868,0.7054517669493489,,0.2919931043966207,0.7503333333333333,
sentence-transformers/sentence-t5-base,0.5844150763298186,0.35933547162769447,,,0.3735,,0.24065143180487647,0.17717096553577377,0.4076920517896694,0.3006026181192261,0.7502975258377701,0.4384591293454432,,0.5392106599890245,0.2830438938491224,0.5113315400134499,0.5991930060524545,,0.7173634724227647,0.7768846630995027,,0.30009114233509354,,
sentence-transformers/sentence-t5-large,0.6182277140780882,0.39775682340645013,,,0.41479999999999995,,0.391589068937712,0.18732355867074946,0.42072611116586583,0.31869403282717373,0.795959912308174,0.47729408080175384,,0.5548362649714498,0.26341168870928305,0.5701412239408203,0.6360121049092132,,0.7282743267188198,0.750086943549879,,0.30227656374127543,,
sentence-transformers/sentence-t5-xl,0.6037247542497267,0.40760351804017364,,,0.43516000000000005,,0.4821591499044526,0.2027889302653955,0.41610054911146016,0.3360365488455902,0.8514249921703726,0.5439085499530223,,0.5362316418384276,0.29564078495920165,0.6098520511096167,0.6641560188298588,,0.7508041932935345,0.7749353352876681,,0.31593902286506226,,
sentence-transformers/sentence-t5-xxl,0.6097713304012906,0.43500242339047224,,,0.46088000000000007,,0.6862094325298919,,,,0.8620106482931412,0.5833385530848731,,,,0.6590786819098857,0.6853059852051111,,0.7706782664515456,0.7680240821366182,,0.3039226775800043,,
shibing624/text2vec-base-multilingual,0.49107425021732654,0.3272237759178746,0.5148170958763292,,0.34254,,0.7584395124322055,0.16190705833804359,0.3619042628585186,0.303885451410444,0.7182586908863138,0.4453492013780145,,0.3193050164392256,0.1937935361736592,0.5193006052454606,0.5830867518493612,,0.7724805746003676,0.7409937723367189,,0.2933489058303607,0.7028333333333333,
text-embedding-ada-002,,,,0.52485,,,,,,,,,,,,,,,,,,,0.8986666666666667,0.85037
voyage-01,,,,0.47234,,,,,,,,,,,,,,,,,,,,0.79577
voyage-02,,,0.5731873626616444,0.38685,0.35725999999999997,,,,,,0.8020357031005325,0.48077043532727837,,,,0.5396435776731674,0.6296906523201076,,,,,,0.7921666666666667,0.67673
voyage-lite-01,,,,0.48541,,,,,,,,,,,,,,,,,,,,0.68891
vprelovac/universal-sentence-encoder-multilingual-3,0.5689916720736953,0.37839369106222703,0.5622529766312828,0.35245,0.33514000000000005,0.0,0.7690854301501483,0.1894729944719849,0.4389692922750733,0.35501449069126906,0.8549639837143752,0.5398371437519573,,0.5087736644872866,0.38153216246694094,0.6119031607262946,0.7021856086079354,,0.7137136565612174,0.779121959792631,,0.28212107619806726,0.7384999999999999,0.68151
xlm-roberta-base,0.5224409381186116,0.2037478764202963,0.2558105711116885,0.00177,0.26747999999999994,0.0,0.017952564716656575,0.08678029981035876,0.40442984625072675,0.24142718145431868,0.43830253679924835,0.1937676166614469,,0.22500036411563312,0.07006583885055262,0.13581035642232683,0.23214525891055815,,0.4861539023272589,0.5672433175176572,,0.2914448969497285,0.43750000000000006,0.00431
xlm-roberta-large,0.5653605568863168,0.21184767038673877,0.28615167458747864,0.00737,0.26616,0.0,0.01008604787310424,0.059433456757291406,0.4267404394453324,0.18501284069791263,0.367710616974632,0.1537112433448168,,0.2695782699802628,0.05671038621087049,0.1582044384667115,0.23920645595158038,,0.5001340631306734,0.5549160342530441,,0.28894306279406234,0.49400000000000005,0.06266
